NOME,Ano,FASE,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,NIVEL_IDEAL,DEFASAGEM,ANO
58,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
59,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
61,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
62,2023.0,9.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,-1.0,2023
63,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
64,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
65,2023.0,8.0,5.299048780487805,10.0,5.828048780487805,4.0,5.5,4.5,4.0,4.6,Quartzo,0,Sim,0.0,2023
66,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
67,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
69,2023.0,7.0,4.800104529616725,9.0,4.352380952380953,7.317073170731707,7.052380952380953,0.0,4.0,4.667781649245065,Quartzo,0,Não,1.0,2023
70,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
72,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
77,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
79,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
80,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
81,2023.0,9.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,-1.0,2023
82,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
83,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
84,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
85,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
87,2023.0,8.0,4.699048780487805,10.0,5.828048780487805,2.0,3.5,4.5,4.0,3.8,Quartzo,0,Sim,0.0,2023
90,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
91,2023.0,6.0,6.300000000000001,8.0,6.1,7.142857142857143,8.8,4.5,4.0,6.297142857142857,Ágata,0,Não,2.0,2023
92,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
93,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
95,2023.0,6.0,6.42869011213048,8.0,6.05,9.724770642201836,8.75,3.7777777777777777,4.0,7.06546381243629,Ágata,1,Não,2.0,2023
96,2023.0,8.0,5.899048780487806,10.0,5.828048780487805,6.0,7.5,4.5,4.0,5.4,Ágata,0,Sim,0.0,2023
97,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
99,2023.0,8.0,5.299048780487805,10.0,5.828048780487805,4.0,5.5,4.5,4.0,4.6,Quartzo,0,Sim,0.0,2023
100,2023.0,6.0,4.89975,8.0,4.8075,8.482142857142858,7.5075,0.0,4.0,5.315857142857143,Quartzo,0,Não,2.0,2023
101,2023.0,7.0,6.897494273934953,9.0,7.297297297297297,8.559322033898306,9.997297297297298,4.0,4.0,7.142647732478242,Ametista,1,Não,1.0,2023
103,2023.0,6.0,6.66025,8.0,6.467499999999999,8.928571428571429,9.1675,4.5,4.0,7.158428571428571,Ágata,1,Não,2.0,2023
